,counts,id,time,var1,var2,var3,var4,var5,var6
55765,0,CT0000200,2013,19128,290,47,1,0.184262666,0
51250,0,CT0000200,2014,18964,259,46,1,0.184262666,0
46735,0,CT0000200,2015,18887,237,46,1,0.184262666,0
42220,0,CT0000200,2016,18776,213,42,1,0.184262666,0
55772,2,CT0001500,2013,147076,4312,411,1,0.184262666,0
51257,0,CT0001500,2014,147822,3727,389,1,0.184262666,0
46742,0,CT0001500,2015,148313,2909,356,1,0.184262666,0
42227,0,CT0001500,2016,148180,3287,376,1,0.184262666,0
55773,0,CT0001700,2013,60642,836,113,1,0.184262666,0
51258,0,CT0001700,2014,60590,922,122,1,0.184262666,0
46743,0,CT0001700,2015,60593,773,119,1,0.184262666,0
42228,0,CT0001700,2016,60445,693,118,1,0.184262666,0
55774,0,CT0001800,2013,16884,54,34,1,0.184262666,0
51259,0,CT0001800,2014,16957,37,33,1,0.184262666,0
46744,0,CT0001800,2015,17202,63,33,1,0.184262666,0
42229,0,CT0001800,2016,17278,63,33,1,0.184262666,0
55775,0,CT0002300,2013,10369,12,15,1,0.184262666,0
51260,0,CT0002300,2014,10372,18,15,1,0.184262666,0
46745,0,CT0002300,2015,10358,3,15,1,0.184262666,0
42230,0,CT0002300,2016,10337,2,15,1,0.184262666,0
55776,0,CT0002500,2013,29310,88,42,1,0.184262666,0
51261,0,CT0002500,2014,29120,105,48,1,0.184262666,0
46746,0,CT0002500,2015,29245,102,46,1,0.184262666,0
42231,0,CT0002500,2016,29259,110,47,1,0.184262666,0
55777,0,CT0002700,2013,13179,140,24,1,0.184262666,0
51262,0,CT0002700,2014,13164,139,27,1,0.184262666,0
46747,0,CT0002700,2015,13100,132,25,1,0.184262666,0
42232,0,CT0002700,2016,13008,104,27,1,0.184262666,0
55778,0,CT0003200,2013,12419,107,15,1,0.184262666,0
51263,0,CT0003200,2014,12403,90,15,1,0.184262666,0
46748,0,CT0003200,2015,12413,69,15,1,0.184262666,0
